NAME                           VERSION                                TYPE                       
libpam0g                       1.7.0-5ubuntu3                         deb                        
libpcre2-8-0                   10.46-1build1                          deb                        
libpgm-5.3-0t64                5.3.128~dfsg-2.1build2                 deb                        
libpq5                         18.4-0ubuntu0.26.04.1                  deb                        
libproc2-0                     2:4.0.4-9ubuntu1                       deb                        
libpsl5t64                     0.21.2-1.1build2                       deb                        
libpython3-stdlib              3.14.3-0ubuntu2                        deb                        
libpython3.14                  3.14.4-1                               deb                        
libpython3.14-minimal          3.14.4-1                               deb                        
libpython3.14-stdlib           3.14.4-1                               deb                        
libreadline8t64                8.3-4                                  deb                        
librtmp1                       2.4+20151223.gitfa8646d.1-3            deb                        
libsasl2-2                     2.1.28+dfsg1-9ubuntu3                  deb                        
libsasl2-modules-db            2.1.28+dfsg1-9ubuntu3                  deb                        
libseccomp2                    2.6.0-2ubuntu5                         deb                        
libselinux1                    3.9-4build1                            deb                        
libsemanage-common             3.9-1build1                            deb                        
libsemanage2                   3.9-1build1                            deb                        
libsepol2                      3.9-2                                  deb                        
libsmartcols1                  2.41.3-3ubuntu2                        deb                        
libsodium23                    1.0.18-2                               deb                        
libsqlite3-0                   3.46.1-9ubuntu0.1                      deb                        
libss2                         1.47.2-3ubuntu4                        deb                        
libssh2-1t64                   1.11.1-1ubuntu0.26.04.2                deb                        
libssl3t64                     3.5.5-1ubuntu3.2                       deb                        
libstdc++6                     16-20260322-1ubuntu1                   deb                        
libsystemd0                    259.5-0ubuntu3                         deb                        
libtasn1-6                     4.21.0-2                               deb                        
libtinfo6                      6.6+20251231-1                         deb                        
libudev1                       259.5-0ubuntu3                         deb                        
libunistring5                  1.3-2build1                            deb                        
libuuid1                       2.41.3-3ubuntu2                        deb                        
libxml2-16                     2.15.2+dfsg-0.1ubuntu0.1               deb                        
libxxhash0                     0.8.3-2build1                          deb                        
libyajl2                       2.1.0-5.1                              deb                        
libyaml-0-2                    0.2.5-2build3                          deb                        
libzmq5                        4.3.5-1build3                          deb                        
libzstd1                       1.5.7+dfsg-3                           deb                        
login                          1:4.16.0-2+really2.41.3-3ubuntu2       deb                        
login.defs                     1:4.17.4-2ubuntu3                      deb                        
logsave                        1.47.2-3ubuntu4                        deb                        
markupsafe                     3.0.3                                  python                     
mawk                           1.3.4.20260129-1                       deb                        
media-types                    14.0.0build1                           deb                        
more-itertools                 10.3.0                                 python                     
more-itertools                 10.8.0                                 python                     
mount                          2.41.3-3ubuntu2                        deb                        
msodbcsql18                    18.6.2.1-1                             deb                        
mssql-django                   1.6                                    python                     
my-test-package                1.0                                    python                     
mysql-common                   5.8+1.1.1ubuntu2                       deb                        
mysqlclient                    1.4.6                                  python                     
ncurses-base                   6.6+20251231-1                         deb                        
ncurses-bin                    6.6+20251231-1                         deb                        
netbase                        6.5build1                              deb                        
nginx                          1.28.3-2ubuntu1.6                      deb                        
nginx-common                   1.28.3-2ubuntu1.6                      deb                        
odbcinst                       2.3.14-1                               deb                        
