NAME                   VERSION                            TYPE     
libtirpc3t64           1.3.4+ds-1.1build1                 deb       
libudev1               255.4-1ubuntu8.4                   deb       
libunistring5          1.1-2build1                        deb       
libuuid1               2.39.3-9ubuntu6.2                  deb       
libxml2                2.9.14+dfsg-1.3ubuntu3.2           deb       
libxtables12           1.8.10-3ubuntu2                    deb       
libxxhash0             0.8.2-2build1                      deb       
libyajl2               2.1.0-5build1                      deb       
libyaml-0-2            0.2.5-1build1                      deb       
libzmq5                4.3.5-1build2                      deb       
libzstd1               1.5.5+dfsg2-2build1.1              deb       
login                  1:4.13+dfsg1-4ubuntu3.2            deb       
logsave                1.47.0-2.4~exp1ubuntu4.1           deb       
markupsafe             3.0.2                              python    
mawk                   1.3.4.20240123-1build1             deb       
media-types            10.1.0                             deb       
mount                  2.39.3-9ubuntu6.2                  deb       
ncurses-base           6.4+20240113-1ubuntu2              deb       
ncurses-bin            6.4+20240113-1ubuntu2              deb       
netbase                6.4                                deb       
nginx                  1.24.0-2ubuntu7.1                  deb       
nginx-common           1.24.0-2ubuntu7.1                  deb       
openssl                3.0.13-0ubuntu3.5                  deb       
passwd                 1:4.13+dfsg1-4ubuntu3.2            deb       
perl-base              5.38.2-3.2build2                   deb       
pip                    24.0                               python    
procps                 2:4.0.4-4ubuntu3.2                 deb       
pyasn1                 0.6.1                              python    
pyasn1-modules         0.4.2                              python    
pycparser              2.22                               python    
pycryptodomex          3.22.0                             python    
pyopenssl              24.0.0                             python    
pyrfc3339              2.0.1                              python    
pysocks                1.7.1                              python    
pyspnego               0.11.2                             python    
python-dateutil        2.9.0.post0                        python    
python3                3.12.3-0ubuntu2                    deb       
python3-decorator      5.1.1-5                            deb       
python3-gssapi         1.8.2-1ubuntu1                     deb       
python3-minimal        3.12.3-0ubuntu2                    deb       
python3-pip            24.0+dfsg-1ubuntu1.1               deb       
python3-pkg-resources  68.1.2-2ubuntu1.1                  deb       
python3-setuptools     68.1.2-2ubuntu1.1                  deb       
python3-wheel          0.42.0-2                           deb       
python3.12             3.12.3-1ubuntu0.5                  deb       
python3.12-minimal     3.12.3-1ubuntu0.5                  deb       
pytz                   2025.2                             python    
pyyaml                 6.0.2                              python    
readline-common        8.2-4build1                        deb       
requests               2.32.3                             python    
requests-gssapi        1.3.0                              python    
requests-ntlm          1.3.0                              python    
requests-pkcs12        1.25                               python    
sed                    4.9-2build1                        deb       
sensible-utils         0.0.22                             deb       
setuptools             68.1.2                             python    
six                    1.17.0                             python    
supervisor             4.2.5                              python    
sysvinit-utils         3.08-6ubuntu3                      deb       
tar                    1.35+dfsg-3build1                  deb       
typing-extensions      4.13.0                             python    
tzdata                 2025a-0ubuntu0.24.04               deb       
ubuntu-keyring         2023.11.28.1                       deb       
unminimize             0.2.1                              deb       
urllib3                2.3.0                              python    
util-linux             2.39.3-9ubuntu6.2                  deb       
uwsgi                  2.0.24-2ubuntu10                   deb       
uwsgi-core             2.0.24-2ubuntu10                   deb       
uwsgi-plugin-python3   2.0.24-2ubuntu10                   deb       
werkzeug               3.1.3                              python    
wheel                  0.42.0                             python    
xmltodict              0.14.2                             python    
zlib1g                 1:1.3.dfsg-3.1ubuntu2.1            deb
